Country,Red_Meat,White_Meat,Eggs,Milk,Fish,Cereals,Starchy_Foods,Pulses_nuts_oilseeds,Fruits_Vegetables,Total
Albania,10,1,1,9,0,42,1,6,2,72
Austria,9,14,4,20,2,28,4,1,4,86
Belgium,14,9,4,18,5,27,6,2,4,89
Bulgaria,8,6,2,8,1,57,1,4,4,91
Czechoslovakia,10,11,3,13,2,34,5,1,4,83
Denmark,11,11,4,25,10,22,5,1,2,91
East_Germany,8,12,4,11,5,25,7,1,4,77
Finland,10,5,3,34,6,26,5,1,1,91
France,18,10,3,20,6,28,5,2,7,99
Greece,10,3,3,18,6,42,2,8,7,99
Hungary,5,12,3,10,0,40,4,5,4,83
Ireland,14,10,5,26,2,24,6,2,3,92
Italy,9,5,3,14,3,37,2,4,7,84
The_Netherlands,10,14,4,23,3,22,4,2,4,86
Norway,9,5,3,23,10,23,5,2,3,83
Poland,7,10,3,19,3,36,6,2,7,93
Portugal,6,4,1,5,14,27,6,5,8,76
Romania,6,6,2,11,1,50,3,5,3,87
Spain,7,3,3,9,7,29,6,6,7,77
Sweden,10,8,4,25,8,20,4,1,2,82
Switzerland,13,10,3,24,2,26,3,2,5,88
United_Kingdom,17,6,5,21,4,24,5,3,3,88
USSR,9,5,2,17,3,44,6,3,3,92
West_Germany,11,13,4,19,3,19,5,2,4,80
Yugoslavia,4,5,1,10,1,56,3,6,3,89
